nama,kategori,rating,provinsi,kota,kecamatan,alamat,link
Monumen Pendidikan,Taman,4.5,Jawa Timur,Surabaya,Wiyung,"MMXF+HM9 Universitas Negeri Surabaya, Lidah Wetan, Wiyung, Surabaya City, East Java 60213","https://www.google.com/maps/place/Monumen+Pendidikan/@-7.3010859,112.5423954,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fc51fb4d80ef:0x610726bc92a28fa5!8m2!3d-7.3010859!4d112.6742313!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSARNoaXN0b3JpY2FsX2xhbmRtYXJr4AEA?hl=en"
Toko Mainan Micky Mouse Pusat Grosir Surabaya,Taman,5.0,Jawa Timur,Surabaya,Bubutan,"Pusat Grosir Surabaya, Jalan Surabaya Lantai 4 Blok G3 No 1-9, Dupak, Kec. Bubutan, Kota SBY, Jawa Timur 60172","https://www.google.com/maps/place/Toko+Mainan+Micky+Mouse+Pusat+Grosir+Surabaya/@-7.3115441,112.6505979,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f938b7988b17:0x49e0e66fb431d6b1!8m2!3d-7.246195!4d112.732432!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQp0b3lfbXVzZXVt4AEA?hl=en"
Gedung Parkir Genteng Kali,Taman,4.8,Jawa Timur,Surabaya,Genteng,"PPVV+3FM, Jl. Genteng Kali, RW.11, Genteng, Kec. Genteng, Kota SBY, Jawa Timur 60275","https://www.google.com/maps/place/Gedung+Parkir+Genteng+Kali/@-7.3115441,112.6505979,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f9d50e6b651f:0xee330b130b5ddd91!8m2!3d-7.2572638!4d112.7436952!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWFaFyIVbXVzZXVtIGRla2F0IHN1cmFiYXlhkgELcGFya2luZ19sb3SaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkxNV1ZoUm1WQkVBReABAA?hl=en"
Universitas Dinamika (STIKOM Surabaya),Taman,4.8,Jawa Timur,Surabaya,Rungkut,"Jl. Raya Kedung Baruk No.98, Kedung Baruk, Kec. Rungkut, Kota SBY, Jawa Timur 60298","https://www.google.com/maps/place/Universitas+Dinamika+(STIKOM+Surabaya)/@-7.3115441,112.6505979,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7faec95555555:0xf13eec4465c5a263!8m2!3d-7.3115441!4d112.7824338!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSARJwcml2YXRlX3VuaXZlcnNpdHngAQA?hl=en"
Balai Pemuda Surabaya,Taman,4.7,Jawa Timur,Surabaya,Genteng,"Jl. Gubernur Suryo No.15, Embong Kaliasin, Kec. Genteng, Kota SBY, Jawa Timur 60271","https://www.google.com/maps/place/Balai+Pemuda+Surabaya/@-7.2568213,112.6056814,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f9617fe40b67:0x987ff0249bb2e08a!8m2!3d-7.2641951!4d112.7452561!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWFaFyIVbXVzZXVtIGRla2F0IHN1cmFiYXlhkgEQY29tbXVuaXR5X2NlbnRlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWFXVmhNRUpSRUFF4AEA?hl=en"
Taman Ekspresi Dan Perpustakaan,Taman,4.5,Jawa Timur,Surabaya,Genteng,"Jl. Genteng Kali No.67, Genteng, Kec. Genteng, Kota SBY, Jawa Timur 60275","https://www.google.com/maps/place/Taman+Ekspresi+Dan+Perpustakaan/@-7.2568213,112.6056814,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f966192051db:0x73421d48f52c1f0f!8m2!3d-7.2573072!4d112.7437199!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWFaFyIVbXVzZXVtIGRla2F0IHN1cmFiYXlhkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOdGIzWXpTVnBSRUFF4AEA?hl=en"
Taman Gantung Tunjungan Surabaya,Taman,4.5,Jawa Timur,Surabaya,Genteng,"Tunjungan St No.3-9, Genteng, Surabaya City, East Java 60275","https://www.google.com/maps/place/Taman+Gantung+Tunjungan+Surabaya/@-7.2568213,112.6056814,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f942b589b0dd:0x6ae866db0b415b93!8m2!3d-7.2568213!4d112.7375173!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWFaFyIVbXVzZXVtIGRla2F0IHN1cmFiYXlhkgEGZ2FyZGVumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU56T1dSeVRsQjNFQUXgAQA?hl=en"
Suroboyo Park,Taman,4.5,Jawa Timur,Surabaya,Bulak,"Jl. Pantai Kenjeran, Kedung Cowek, Kec. Bulak, Kota SBY, Jawa Timur 60125","https://www.google.com/maps/place/Suroboyo+Park/@-7.264071,112.6134113,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f9cabc1df2db:0x5af54dd18a72b9ca!8m2!3d-7.2253727!4d112.7880641!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWFaFyIVbXVzZXVtIGRla2F0IHN1cmFiYXlhkgEJY2l0eV9wYXJr4AEA?hl=en"
Sekretariat Asperda,Taman,4.1,Jawa Timur,Surabaya,Rungkut,"Jl. Raya Medokan Sawah No.110, Medokan Ayu, Kec. Rungkut, Kota SBY, Jawa Timur 60295","https://www.google.com/maps/place/Sekretariat+Asperda/@-7.264071,112.6134113,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fabb98a0e00b:0xac715cdb68ddd3aa!8m2!3d-7.3308385!4d112.795221!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQZtdXNldW3gAQA?hl=en"
Suramadu Bridge,Taman,4.6,Jawa Timur,Surabaya,Kenjeran,"RQ8J+J4X, Jl. Tol Suramadu, Tambak Wedi, Kec. Kenjeran, Kota SBY, Jawa Timur 60126","https://www.google.com/maps/place/Suramadu+Bridge/@-7.264071,112.6134113,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f963d2d4fb4d:0x30462b46df526821!8m2!3d-7.1833897!4d112.7803669!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWFaFyIVbXVzZXVtIGRla2F0IHN1cmFiYXlhkgEGYnJpZGdl4AEA?hl=en"
