nama,kategori,rating,provinsi,kota,kecamatan,alamat,link
Astoria Park,Taman,5.0,Jawa Timur,Surabaya,Mulyorejo,"PQVP+GM4, Jl. Babatan Pantai Bar V, Kalijudan, Kec. Mulyorejo, Kota SBY, Jawa Timur 60114","https://www.google.com/maps/place/Astoria+Park/@-7.3172618,112.6739792,12z/data=!4m10!1m3!2m2!1spark+near+surabaya!6e1!3m5!1s0x2dd7f9d124973f1f:0x5d7e9a0537af56e!8m2!3d-7.2562436!4d112.7867027!15sChJwYXJrIG5lYXIgc3VyYWJheWGSAQ9nYXRlZF9jb21tdW5pdHngAQA?hl=id"
Asia Goldfish Surabaya,Taman,4.7,Jawa Timur,Surabaya,Rungkut,"Jl. Raya Medayu Utara Kav. No. 1 Gerbang biru, kolam ikan hias, Wonorejo, Kec. Rungkut, Kota SBY, Jawa Timur 60295","https://www.google.com/maps/place/Asia+Goldfish+Surabaya/@-7.3172618,112.6739792,12z/data=!4m10!1m3!2m2!1spark+near+surabaya!6e1!3m5!1s0x2dd7fbee68493ac5:0xac531c2a0819509b!8m2!3d-7.3172618!4d112.8058151!15sChJwYXJrIG5lYXIgc3VyYWJheWGSAQ13aWxkbGlmZV9wYXJr4AEA?hl=id"
Taman Bermain & Lapangan Futsal,Taman,4.3,Jawa Timur,Surabaya,Benowo,"PJWW+P27, Sememi, Kec. Benowo, Kota SBY, Jawa Timur 60198","https://www.google.com/maps/place/Taman+Bermain+%26+Lapangan+Futsal/@-7.253217,112.5131972,12z/data=!4m10!1m3!2m2!1spark+near+surabaya!6e1!3m5!1s0x2dd7ffd04c8c812b:0xea8d56ee44008e78!8m2!3d-7.253217!4d112.6450331!15sChJwYXJrIG5lYXIgc3VyYWJheWGSAQRwYXJr4AEA?hl=id"
Taman Ekspresi Dan Perpustakaan,Taman,4.5,Jawa Timur,Surabaya,Genteng,"Jl. Genteng Kali No.67, Genteng, Kec. Genteng, Kota SBY, Jawa Timur 60275","https://www.google.com/maps/place/Taman+Ekspresi+Dan+Perpustakaan/@-7.2573072,112.611884,12z/data=!4m10!1m3!2m2!1spark+near+surabaya!6e1!3m5!1s0x2dd7f966192051db:0x73421d48f52c1f0f!8m2!3d-7.2573072!4d112.7437199!15sChJwYXJrIG5lYXIgc3VyYWJheWGSAQRwYXJr4AEA?hl=id"
Wisata Mangrove Wonorejo Surabaya,Taman,4.5,Jawa Timur,Surabaya,Rungkut,"No., Jl. Wonorejo Timur No.30, Wonorejo, Kec. Rungkut, Kota SBY, Jawa Timur 60296","https://www.google.com/maps/place/Wisata+Mangrove+Wonorejo+Surabaya/@-7.3087462,112.689937,12z/data=!4m10!1m3!2m2!1spark+near+surabaya!6e1!3m5!1s0x2dd7f10aad43d47f:0x3765482949c1cf6d!8m2!3d-7.3087462!4d112.8217729!15sChJwYXJrIG5lYXIgc3VyYWJheWGSAQ9lY29sb2dpY2FsX3BhcmvgAQA?hl=id"
Villa Taman Telaga 1 Park and Basketball Court,Taman,4.3,Jawa Timur,Surabaya,Lakarsantri,"Jl. Telaga Golf Road No.39, Lidah Kulon, Lakarsantri, Surabaya City, East Java 60213","https://www.google.com/maps/place/Villa+Taman+Telaga+1+Park+and+Basketball+Court/@-7.2503354,112.5298896,12z/data=!4m10!1m3!2m2!1spark+near+surabaya!6e1!3m5!1s0x2dd7fd1c3d8f9ee3:0x3dbf26c0c065e043!8m2!3d-7.2957001!4d112.6536502!15sChJwYXJrIG5lYXIgc3VyYWJheWGSAQpwbGF5Z3JvdW5k4AEA?hl=id"
Park & Ride Mayjend Sungkono (Dinas Perhubungan Kota Surabaya),Taman,4.5,Jawa Timur,Surabaya,Dukuhpakis,"Jl. Mayjen Sungkono No.122, Gn. Sari, Kec. Dukuhpakis, Kota SBY, Jawa Timur 60224","https://www.google.com/maps/place/Park+%26+Ride+Mayjend+Sungkono+(Dinas+Perhubungan+Kota+Surabaya)/@-7.2503354,112.5298896,12z/data=!4m10!1m3!2m2!1spark+near+surabaya!6e1!3m5!1s0x2dd7fb8aaad17839:0x6edb05b662a5a4c8!8m2!3d-7.2907368!4d112.7149901!15sChJwYXJrIG5lYXIgc3VyYWJheWFaFCIScGFyayBuZWFyIHN1cmFiYXlhkgEUcHVibGljX3Bhcmtpbmdfc3BhY2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTBha3BQYVhsM1JSQULgAQA?hl=id"
Taman Gantung Tunjungan Surabaya,Taman,4.5,Jawa Timur,Surabaya,Genteng,"Jl. Tunjungan No.3-9, Genteng, Kec. Genteng, Kota SBY, Jawa Timur 60275","https://www.google.com/maps/place/Taman+Gantung+Tunjungan+Surabaya/@-7.2503354,112.5298896,12z/data=!4m10!1m3!2m2!1spark+near+surabaya!6e1!3m5!1s0x2dd7f942b589b0dd:0x6ae866db0b415b93!8m2!3d-7.2568213!4d112.7375173!15sChJwYXJrIG5lYXIgc3VyYWJheWGSAQZnYXJkZW7gAQA?hl=id"
Monumen Perjuangan Polisi Republik Indonesia,Taman,4.5,Jawa Timur,Surabaya,Tegalsari,"PP9R+M9F, Jl. Polisi Istimewa, Keputran, Kec. Tegalsari, Kota SBY, Jawa Timur 60265","https://www.google.com/maps/place/Monumen+Perjuangan+Polisi+Republik+Indonesia/@-7.2503354,112.5298896,12z/data=!4m10!1m3!2m2!1spark+near+surabaya!6e1!3m5!1s0x2dd7fbc115555555:0xbf387c85735b1324!8m2!3d-7.2808224!4d112.7409251!15sChJwYXJrIG5lYXIgc3VyYWJheWGSAQljaXR5X3BhcmvgAQA?hl=id"
Danau Food Juction,Taman,4.3,Jawa Timur,Surabaya,Tandes,"PMX6+VM9, Unnamed Road, Banjar Sugihan, Kec. Tandes, Kota SBY, Jawa Timur 60185","https://www.google.com/maps/place/Danau+Food+Juction/@-7.2503354,112.5298896,12z/data=!4m10!1m3!2m2!1spark+near+surabaya!6e1!3m5!1s0x2dd7ff1ff78ddefb:0x27cb58ac6dbe610b!8m2!3d-7.2503354!4d112.6617255!15sChJwYXJrIG5lYXIgc3VyYWJheWGSAQRwYXJr4AEA?hl=id"
